True,Predicted,Correct
Ian Mahinmi,Ian Mahinmi,True
Chandler Parsons,Chandler Parsons,True
Marcin Gortat,Marcin Gortat,True
Greg Stiemsma,Greg Stiemsma,True
James Harden,James Harden,True
Michael Carter-Williams,Michael Carter-Williams,True
David Lee,David Lee,True
Dion Waiters,Dion Waiters,True
Ryan Anderson,Ryan Anderson,True
Miles Plumlee,Miles Plumlee,True
Tyler Zeller,Tyler Zeller,True
Hollis Thompson,Hollis Thompson,True
Timofey Mozgov,Timofey Mozgov,True
Danny Green,Danny Green,True
Evan Turner,Evan Turner,True
Ricky Rubio,Ricky Rubio,True
Evan Fournier,Evan Fournier,True
Manu Ginobili,Manu Ginobili,True
James Johnson,James Johnson,True
Paul Pierce,Paul Pierce,True
DeAndre Jordan,DeAndre Jordan,True
Blake Griffin,Blake Griffin,True
Boris Diaw,Boris Diaw,True
Andre Drummond,Greg Monroe,False
Leandro Barbosa,Leandro Barbosa,True
Kevin Martin,Kevin Martin,True
Gordon Hayward,Gordon Hayward,True
DeAndre Jordan,DeAndre Jordan,True
Tony Snell,Tony Snell,True
Zaza Pachulia,Zaza Pachulia,True
Tony Parker,Tony Parker,True
Iman Shumpert,Carmelo Anthony,False
Mike Conley,Mike Conley,True
Arron Afflalo,Arron Afflalo,True
Reggie Jackson,Russell Westbrook,False
Nazr Mohammed,Nazr Mohammed,True
Roy Hibbert,Roy Hibbert,True
Earl Clark,Earl Clark,True
Zach Randolph,Zach Randolph,True
Tony Snell,Tony Snell,True
Boris Diaw,Boris Diaw,True
Rodney Stuckey,Rodney Stuckey,True
Eric Gordon,Eric Gordon,True
Josh Smith,Josh Smith,True
Paul Millsap,Paul Millsap,True
Enes Kanter,Derrick Favors,False
Samuel Dalembert,Samuel Dalembert,True
Kyle Singler,Kyle Singler,True
Orlando Johnson,Lance Stephenson,False
Kevin Love,Kevin Love,True
Ty Lawson,Ty Lawson,True
Marc Gasol,Marc Gasol,True
Jeff Green,Jeff Green,True
David West,David West,True
Terrence Jones,Josh Smith,False
Perry Jones,Kevin Durant,False
Anthony Morrow,Anthony Morrow,True
Reggie Evans,Reggie Evans,True
Russell Westbrook,Russell Westbrook,True
Jerami Grant,Jerami Grant,True
Deron Williams,Brook Lopez,False
Brandon Bass,Brandon Bass,True
Derrick Williams,Derrick Williams,True
Kyle Lowry,Kyle Lowry,True
Ty Lawson,Ty Lawson,True
Al Horford,Al Horford,True
Andrew Nicholson,Dewayne Dedmon,False
Joel Freeland,LaMarcus Aldridge,False
Kendrick Perkins,Kendrick Perkins,True
Jason Smith,Jason Smith,True
Tim Duncan,Tiago Splitter,False
Elfrid Payton,Elfrid Payton,True
LeBron James,LeBron James,True
Jae Crowder,Evan Turner,False
Pablo Prigioni,Quincy Acy,False
Pau Gasol,Pau Gasol,True
Jason Smith,Jason Smith,True
Kelly Olynyk,Kelly Olynyk,True
Rodney Stuckey,Rodney Stuckey,True
Patrick Patterson,Patrick Patterson,True
DeMarre Carroll,DeMarre Carroll,True
Kyle Korver,Kyle Korver,True
Andre Iguodala,Andre Iguodala,True
Al Jefferson,Bismack Biyombo,False
Evan Turner,Evan Turner,True
Tristan Thompson,Tristan Thompson,True
Mike Conley,Mike Conley,True
Nik Stauskas,Omri Casspi,False
Arron Afflalo,Arron Afflalo,True
Jimmy Butler,Jimmy Butler,True
Kirk Hinrich,Mike Dunleavy,False
Victor Oladipo,Victor Oladipo,True
Channing Frye,Channing Frye,True
C.J. Watson,C.J. Watson,True
Marcus Morris,Isaiah Thomas,False
Alexis Ajinca,Alexis Ajinca,True
Kirk Hinrich,Nikola Mirotic,False
Omer Asik,Omer Asik,True
Patty Mills,Patty Mills,True
Vince Carter,Tony Allen,False
Derrick Favors,Derrick Favors,True
Nikola Pekovic,Nikola Pekovic,True
Kevin Seraphin,Kevin Seraphin,True
Gary Harris,Gary Harris,True
Tyler Ennis,Khris Middleton,False
Roy Hibbert,Roy Hibbert,True
Josh Smith,Josh Smith,True
Gordon Hayward,Gordon Hayward,True
Marcin Gortat,Marcin Gortat,True
Rasual Butler,Rasual Butler,True
Draymond Green,Festus Ezeli,False
Derrick Williams,Derrick Williams,True
Tyler Hansbrough,Tyler Hansbrough,True
Tim Hardaway,Tim Hardaway,True
Ish Smith,Ish Smith,True
Nerlens Noel,Nerlens Noel,True
Andre Miller,Andre Miller,True
Nene Hilario,Kris Humphries,False
Khris Middleton,Khris Middleton,True
Joe Johnson,Joe Johnson,True
Bradley Beal,Bradley Beal,True
Victor Oladipo,Victor Oladipo,True
Andre Drummond,Andre Drummond,True
Kostas Papanikolaou,Kostas Papanikolaou,True
Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,True
Patrick Patterson,Patrick Patterson,True
Marvin Williams,Marvin Williams,True
Chandler Parsons,Chandler Parsons,True
Tim Hardaway,Tim Hardaway,True
Nicolas Batum,Meyers Leonard,False
James Young,Jae Crowder,False
Tony Allen,Vince Carter,False
Klay Thompson,Klay Thompson,True
Jeremy Lin,Jeremy Lin,True
Jordan Hill,Jordan Hill,True
Khris Middleton,Jabari Parker,False
Austin Rivers,Austin Rivers,True
Paul Millsap,Paul Millsap,True
James Jones,James Jones,True
Luol Deng,Luol Deng,True
Al Horford,Al Horford,True
Stephen Curry,Stephen Curry,True
Tony Allen,Tony Allen,True
Kent Bazemore,Kent Bazemore,True
Tim Duncan,Tim Duncan,True
Marc Gasol,Marc Gasol,True
Harrison Barnes,Harrison Barnes,True
Ty Lawson,Ty Lawson,True
Patrick Beverley,Patrick Beverley,True
Wilson Chandler,Wilson Chandler,True
Tyson Chandler,Tyson Chandler,True
Elfrid Payton,Elfrid Payton,True
T.J. McConnell,Robert Covington,False
Tony Parker,Tony Parker,True
Aron Baynes,Andre Drummond,False
Allen Crabbe,Damian Lillard,False
Kevin Durant,Dion Waiters,False
Devin Booker,Marcus Morris,False
Thomas Robinson,Mason Plumlee,False
Shabazz Muhammad,Gorgui Dieng,False
Nerlens Noel,Robert Covington,False
Norris Cole,Ryan Anderson,False
Nene Hilario,Nene Hilario,True
P.J. Tucker,Markieff Morris,False
Klay Thompson,Klay Thompson,True
C.J. Miles,C.J. Miles,True
LaMarcus Aldridge,Tim Duncan,False
Charlie Villanueva,Al-Farouq Aminu,False
Andrew Bogut,David Lee,False
Ian Mahinmi,David West,False
Boris Diaw,Boris Diaw,True
Bradley Beal,Bradley Beal,True
Kosta Koufos,DeMarcus Cousins,False
Joe Ingles,Gordon Hayward,False
Damian Lillard,LaMarcus Aldridge,False
Jonas Valanciunas,Jonas Valanciunas,True
Leandro Barbosa,Klay Thompson,False
Joakim Noah,Joakim Noah,True
Josh Smith,DeAndre Jordan,False
Jarrett Jack,Jarrett Jack,True
Paul Pierce,Matt Barnes,False
Ricky Rubio,Thaddeus Young,False
Elfrid Payton,Nikola Vucevic,False
Gerald Green,Chris Andersen,False
Shane Larkin,Joe Johnson,False
J.J. Barea,Devin Harris,False
Dion Waiters,Anthony Morrow,False
Jordan Clarkson,Jordan Hill,False
Jonas Valanciunas,Patrick Patterson,False
P.J. Tucker,Markieff Morris,False
Anthony Brown,Carlos Boozer,False
Tristan Thompson,Tristan Thompson,True
Damian Lillard,Damian Lillard,True
Derrick Williams,Jason Smith,False
Kendrick Perkins,Omer Asik,False
Carl Landry,Henry Sims,False
Tyus Jones,Thaddeus Young,False
Greg Monroe,Brandon Knight,False
Kevin Durant,Kevin Durant,True
Joe Johnson,Luol Deng,False
Dwight Howard,James Harden,False
Derrick Favors,Dante Exum,False
Gerald Henderson,LaMarcus Aldridge,False
Arron Afflalo,Carmelo Anthony,False
Chris Bosh,Chris Andersen,False
Lavoy Allen,George Hill,False
Taj Gibson,Pau Gasol,False
Tristan Thompson,Tristan Thompson,True
J.R. Smith,J.R. Smith,True
George Hill,C.J. Miles,False
Tiago Splitter,Thabo Sefolosha,False
Tyler Zeller,Tyler Zeller,True
Carmelo Anthony,Jason Smith,False
DeMar DeRozan,Amir Johnson,False
Terrence Ross,Terrence Ross,True
DeMar DeRozan,DeMar DeRozan,True
Bojan Bogdanovic,Brook Lopez,False
Kyle Korver,Kyle Korver,True
Mirza Teletovic,Marcus Morris,False
Brandon Bass,Carlos Boozer,False
Lance Thomas,Shane Larkin,False
John Wall,Nene Hilario,False
Allen Crabbe,Damian Lillard,False
Hollis Thompson,Hollis Thompson,True
Matt Barnes,Mike Conley,False
Solomon Hill,Roy Hibbert,False
Luc Mbah a Moute,J.J. Redick,False
Wesley Johnson,Matt Barnes,False
Josh Richardson,Luol Deng,False
Bradley Beal,Bradley Beal,True
Tristan Thompson,Timofey Mozgov,False
Nene Hilario,Rasual Butler,False
Dwyane Wade,Chris Andersen,False
Spencer Hawes,Michael Kidd-Gilchrist,False
James Harden,James Harden,True
Damian Lillard,LaMarcus Aldridge,False
Gerald Henderson,Nicolas Batum,False
Nikola Vucevic,Nikola Vucevic,True
Pau Gasol,Pau Gasol,True
Pau Gasol,Pau Gasol,True
Dwyane Wade,Dwyane Wade,True
R.J. Hunter,Evan Turner,False
Kevin Love,Kevin Love,True
Frank Kaminsky,Brian Roberts,False
Monta Ellis,George Hill,False
Nemanja Bjelica,Gorgui Dieng,False
Donald Sloan,Alan Anderson,False
Jonas Valanciunas,Lou Williams,False
Devin Harris,Dirk Nowitzki,False
Ish Smith,John Salmons,False
Wayne Ellington,Mason Plumlee,False
