KNN_output	NBA_label	Match
Andray Blatche	Andray Blatche	True
Ian Mahinmi	Ian Mahinmi	True
Chandler Parsons	Chandler Parsons	True
Marcin Gortat	Marcin Gortat	True
Greg Stiemsma	Greg Stiemsma	True
James Harden	James Harden	True
Michael Carter-Williams	Michael Carter-Williams	True
David Lee	David Lee	True
Dion Waiters	Dion Waiters	True
Ryan Anderson	Ryan Anderson	True
Miles Plumlee	Miles Plumlee	True
Tyler Zeller	Tyler Zeller	True
Hollis Thompson	Hollis Thompson	True
Timofey Mozgov	Timofey Mozgov	True
Danny Green	Danny Green	True
Evan Turner	Evan Turner	True
Ricky Rubio	Ricky Rubio	True
Evan Fournier	Evan Fournier	True
Manu Ginobili	Manu Ginobili	True
James Johnson	James Johnson	True
Paul Pierce	Paul Pierce	True
DeAndre Jordan	DeAndre Jordan	True
Blake Griffin	Blake Griffin	True
Boris Diaw	Boris Diaw	True
Greg Monroe	Andre Drummond	False
Leandro Barbosa	Leandro Barbosa	True
Kevin Martin	Kevin Martin	True
Gordon Hayward	Gordon Hayward	True
DeAndre Jordan	DeAndre Jordan	True
Tony Snell	Tony Snell	True
Zaza Pachulia	Zaza Pachulia	True
Tony Parker	Tony Parker	True
Carmelo Anthony	Iman Shumpert	False
Mike Conley	Mike Conley	True
Arron Afflalo	Arron Afflalo	True
Russell Westbrook	Reggie Jackson	False
Nazr Mohammed	Nazr Mohammed	True
Roy Hibbert	Roy Hibbert	True
Earl Clark	Earl Clark	True
Zach Randolph	Zach Randolph	True
Tony Snell	Tony Snell	True
Boris Diaw	Boris Diaw	True
Rodney Stuckey	Rodney Stuckey	True
Eric Gordon	Eric Gordon	True
Josh Smith	Josh Smith	True
Paul Millsap	Paul Millsap	True
Derrick Favors	Enes Kanter	False
Samuel Dalembert	Samuel Dalembert	True
Kyle Singler	Kyle Singler	True
Lance Stephenson	Orlando Johnson	False
Kevin Love	Kevin Love	True
Ty Lawson	Ty Lawson	True
Marc Gasol	Marc Gasol	True
Jeff Green	Jeff Green	True
David West	David West	True
Josh Smith	Terrence Jones	False
Kevin Durant	Perry Jones	False
Anthony Morrow	Anthony Morrow	True
Reggie Evans	Reggie Evans	True
Russell Westbrook	Russell Westbrook	True
Jerami Grant	Jerami Grant	True
Brook Lopez	Deron Williams	False
Brandon Bass	Brandon Bass	True
Derrick Williams	Derrick Williams	True
Kyle Lowry	Kyle Lowry	True
Ty Lawson	Ty Lawson	True
Al Horford	Al Horford	True
Dewayne Dedmon	Andrew Nicholson	False
LaMarcus Aldridge	Joel Freeland	False
Kendrick Perkins	Kendrick Perkins	True
Jason Smith	Jason Smith	True
Tiago Splitter	Tim Duncan	False
Elfrid Payton	Elfrid Payton	True
LeBron James	LeBron James	True
Evan Turner	Jae Crowder	False
Quincy Acy	Pablo Prigioni	False
Pau Gasol	Pau Gasol	True
Jason Smith	Jason Smith	True
Kelly Olynyk	Kelly Olynyk	True
Rodney Stuckey	Rodney Stuckey	True
Patrick Patterson	Patrick Patterson	True
DeMarre Carroll	DeMarre Carroll	True
Kyle Korver	Kyle Korver	True
Andre Iguodala	Andre Iguodala	True
Bismack Biyombo	Al Jefferson	False
Evan Turner	Evan Turner	True
Tristan Thompson	Tristan Thompson	True
Mike Conley	Mike Conley	True
Omri Casspi	Nik Stauskas	False
Arron Afflalo	Arron Afflalo	True
Jimmy Butler	Jimmy Butler	True
Mike Dunleavy	Kirk Hinrich	False
Victor Oladipo	Victor Oladipo	True
Channing Frye	Channing Frye	True
C.J. Watson	C.J. Watson	True
Isaiah Thomas	Marcus Morris	False
Alexis Ajinca	Alexis Ajinca	True
Nikola Mirotic	Kirk Hinrich	False
Omer Asik	Omer Asik	True
Patty Mills	Patty Mills	True
Tony Allen	Vince Carter	False
Derrick Favors	Derrick Favors	True
Nikola Pekovic	Nikola Pekovic	True
Kevin Seraphin	Kevin Seraphin	True
Gary Harris	Gary Harris	True
Khris Middleton	Tyler Ennis	False
Roy Hibbert	Roy Hibbert	True
Josh Smith	Josh Smith	True
Gordon Hayward	Gordon Hayward	True
Marcin Gortat	Marcin Gortat	True
Rasual Butler	Rasual Butler	True
Festus Ezeli	Draymond Green	False
Derrick Williams	Derrick Williams	True
Tyler Hansbrough	Tyler Hansbrough	True
Tim Hardaway	Tim Hardaway	True
Ish Smith	Ish Smith	True
Nerlens Noel	Nerlens Noel	True
Andre Miller	Andre Miller	True
Kris Humphries	Nene Hilario	False
Khris Middleton	Khris Middleton	True
Joe Johnson	Joe Johnson	True
Bradley Beal	Bradley Beal	True
Victor Oladipo	Victor Oladipo	True
Andre Drummond	Andre Drummond	True
Kostas Papanikolaou	Kostas Papanikolaou	True
Michael Kidd-Gilchrist	Michael Kidd-Gilchrist	True
Patrick Patterson	Patrick Patterson	True
Marvin Williams	Marvin Williams	True
Chandler Parsons	Chandler Parsons	True
Tim Hardaway	Tim Hardaway	True
Meyers Leonard	Nicolas Batum	False
Jae Crowder	James Young	False
Vince Carter	Tony Allen	False
Klay Thompson	Klay Thompson	True
Jeremy Lin	Jeremy Lin	True
Jordan Hill	Jordan Hill	True
Jabari Parker	Khris Middleton	False
Austin Rivers	Austin Rivers	True
Paul Millsap	Paul Millsap	True
James Jones	James Jones	True
Luol Deng	Luol Deng	True
Al Horford	Al Horford	True
Stephen Curry	Stephen Curry	True
Tony Allen	Tony Allen	True
Kent Bazemore	Kent Bazemore	True
Tim Duncan	Tim Duncan	True
Marc Gasol	Marc Gasol	True
Harrison Barnes	Harrison Barnes	True
Ty Lawson	Ty Lawson	True
Patrick Beverley	Patrick Beverley	True
Wilson Chandler	Wilson Chandler	True
Tyson Chandler	Tyson Chandler	True
Elfrid Payton	Elfrid Payton	True
Robert Covington	T.J. McConnell	False
Tony Parker	Tony Parker	True
Andre Drummond	Aron Baynes	False
Damian Lillard	Allen Crabbe	False
Dion Waiters	Kevin Durant	False
Marcus Morris	Devin Booker	False
Mason Plumlee	Thomas Robinson	False
Gorgui Dieng	Shabazz Muhammad	False
Robert Covington	Nerlens Noel	False
Ryan Anderson	Norris Cole	False
Nene Hilario	Nene Hilario	True
Markieff Morris	P.J. Tucker	False
Klay Thompson	Klay Thompson	True
C.J. Miles	C.J. Miles	True
Tim Duncan	LaMarcus Aldridge	False
Al-Farouq Aminu	Charlie Villanueva	False
David Lee	Andrew Bogut	False
David West	Ian Mahinmi	False
Boris Diaw	Boris Diaw	True
Bradley Beal	Bradley Beal	True
DeMarcus Cousins	Kosta Koufos	False
Gordon Hayward	Joe Ingles	False
LaMarcus Aldridge	Damian Lillard	False
Jonas Valanciunas	Jonas Valanciunas	True
Klay Thompson	Leandro Barbosa	False
Joakim Noah	Joakim Noah	True
DeAndre Jordan	Josh Smith	False
Jarrett Jack	Jarrett Jack	True
Matt Barnes	Paul Pierce	False
Thaddeus Young	Ricky Rubio	False
Nikola Vucevic	Elfrid Payton	False
Chris Andersen	Gerald Green	False
Joe Johnson	Shane Larkin	False
Devin Harris	J.J. Barea	False
Anthony Morrow	Dion Waiters	False
Jordan Hill	Jordan Clarkson	False
Patrick Patterson	Jonas Valanciunas	False
Markieff Morris	P.J. Tucker	False
Carlos Boozer	Anthony Brown	False
Tristan Thompson	Tristan Thompson	True
Damian Lillard	Damian Lillard	True
Jason Smith	Derrick Williams	False
Omer Asik	Kendrick Perkins	False
Henry Sims	Carl Landry	False
Thaddeus Young	Tyus Jones	False
Brandon Knight	Greg Monroe	False
Kevin Durant	Kevin Durant	True
Luol Deng	Joe Johnson	False
James Harden	Dwight Howard	False
Dante Exum	Derrick Favors	False
LaMarcus Aldridge	Gerald Henderson	False
Carmelo Anthony	Arron Afflalo	False
Chris Andersen	Chris Bosh	False
George Hill	Lavoy Allen	False
Pau Gasol	Taj Gibson	False
Tristan Thompson	Tristan Thompson	True
J.R. Smith	J.R. Smith	True
C.J. Miles	George Hill	False
Thabo Sefolosha	Tiago Splitter	False
Tyler Zeller	Tyler Zeller	True
Jason Smith	Carmelo Anthony	False
Amir Johnson	DeMar DeRozan	False
Terrence Ross	Terrence Ross	True
DeMar DeRozan	DeMar DeRozan	True
Brook Lopez	Bojan Bogdanovic	False
Kyle Korver	Kyle Korver	True
Marcus Morris	Mirza Teletovic	False
Carlos Boozer	Brandon Bass	False
Shane Larkin	Lance Thomas	False
Nene Hilario	John Wall	False
Damian Lillard	Allen Crabbe	False
Hollis Thompson	Hollis Thompson	True
Mike Conley	Matt Barnes	False
Roy Hibbert	Solomon Hill	False
J.J. Redick	Luc Mbah a Moute	False
Matt Barnes	Wesley Johnson	False
Luol Deng	Josh Richardson	False
Bradley Beal	Bradley Beal	True
Timofey Mozgov	Tristan Thompson	False
Rasual Butler	Nene Hilario	False
Chris Andersen	Dwyane Wade	False
Michael Kidd-Gilchrist	Spencer Hawes	False
James Harden	James Harden	True
LaMarcus Aldridge	Damian Lillard	False
Nicolas Batum	Gerald Henderson	False
Nikola Vucevic	Nikola Vucevic	True
Pau Gasol	Pau Gasol	True
Pau Gasol	Pau Gasol	True
Dwyane Wade	Dwyane Wade	True
Evan Turner	R.J. Hunter	False
Kevin Love	Kevin Love	True
Brian Roberts	Frank Kaminsky	False
George Hill	Monta Ellis	False
Gorgui Dieng	Nemanja Bjelica	False
Alan Anderson	Donald Sloan	False
Lou Williams	Jonas Valanciunas	False
Dirk Nowitzki	Devin Harris	False
John Salmons	Ish Smith	False
Mason Plumlee	Wayne Ellington	False
